FS_LUT_ID,Label,R,A,S,Unnamed: 0,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis,fold
,lh_S_oc_sup&transversal,,,,57,lh_S_oc_sup&transversal_thickness,-14742.548368541344,0.3185380698097697,-0.1793083756206611,-29444.05166953704,-0.0870094937927798,0.6165153581052998,1
11160.0,lh_S_occipital_ant,-43.0102,-69.1141,0.3299,58,lh_S_occipital_ant_thickness,-8668.668168862056,0.1853003921515345,-0.0969247711121846,-17296.291270178463,0.1309342078867338,0.439695662157988,1
11161.0,lh_S_oc-temp_lat,-43.2079,-51.3559,-15.2207,59,lh_S_oc-temp_lat_thickness,-9925.376884706951,0.1883760780789291,-0.0972002348588395,-19809.708701868258,0.2332973720764031,0.7637682541545229,1
,lh_S_oc-temp_med&Lingual,,,,60,lh_S_oc-temp_med&Lingual_thickness,-12526.878409206154,0.3146227808994094,-0.1846910840934391,-25012.711890714578,0.0624835041452637,0.2763970024425922,1
11163.0,lh_S_orbital_lateral,-41.2287,42.4769,-2.7372,61,lh_S_orbital_lateral_thickness,-1628.0007083656003,0.2419374908345295,-0.1100080121144295,-3214.9564890334696,0.5930038572887721,1.5419262616329894,1
11164.0,lh_S_orbital_med-olfact,-12.07,25.5372,-19.7779,62,lh_S_orbital_med-olfact_thickness,-8141.92230558833,0.2031218782916461,-0.1099506282767466,-16242.801781784596,0.8010849412247254,4.227251257007153,1
11165.0,lh_S_orbital-H_Shaped,-25.707,36.2054,-13.8749,63,lh_S_orbital-H_Shaped_thickness,-7430.959858294265,0.353101279988552,-0.1873374168971194,-14820.874649042884,0.0804249200683859,0.7583777537940708,1
11166.0,lh_S_parieto_occipital,-15.1186,-67.8952,22.7639,64,lh_S_parieto_occipital_thickness,-14224.855991808672,0.3643273384454969,-0.2168975330785023,-28408.667055919614,-0.0319178511353752,0.4538297646125508,1
11167.0,lh_S_pericallosal,-4.4078,-0.2915,17.734,65,lh_S_pericallosal_thickness,6396.978597532042,0.1069680988835609,-0.0542983346804532,12835.00226260973,0.6422032334953959,0.8298304357336413,1
11168.0,lh_S_postcentral,-38.27,-35.1022,45.0907,66,lh_S_postcentral_thickness,-14830.096828351154,0.4120375919740642,-0.2507708769060851,-29619.14858915666,-0.1077660814738331,0.6307206024305388,1
11169.0,lh_S_precentral-inf-part,-44.5104,3.9463,26.7478,67,lh_S_precentral-inf-part_thickness,-13888.398117341138,0.3594205431164066,-0.210837923380122,-27735.751306984544,-0.2885298023699675,1.004841677415031,1
11170.0,lh_S_precentral-sup-part,-28.9046,-8.46,52.2209,68,lh_S_precentral-sup-part_thickness,-10291.853688534196,0.2897504373750822,-0.1649054101315279,-20542.66230952274,-0.2752646457522835,0.8986037844004561,1
11171.0,lh_S_suborbital,-6.9567,39.6215,-10.6422,69,lh_S_suborbital_thickness,1474.3747463499003,0.1201269813106583,-0.0540350375083294,2989.794280544728,0.5915123829605459,1.436506183443838,1
11172.0,lh_S_subparietal,-9.6541,-48.4108,35.1315,70,lh_S_subparietal_thickness,-13827.64015540492,0.2834523635315227,-0.1570804056757194,-27614.235383112107,0.0691139178363718,0.7611489158040883,1
11173.0,lh_S_temporal_inf,-52.9245,-35.2661,-17.6773,71,lh_S_temporal_inf_thickness,-9449.442465050282,0.1971413714259592,-0.1057550259208129,-18857.83986255492,0.190510202982756,0.921140603712006,1
11174.0,lh_S_temporal_sup,-49.8609,-40.9534,3.242,72,lh_S_temporal_sup_thickness,-18453.848498819745,0.4080308210877051,-0.2493738027629419,-36866.651930093845,-0.1822448462626197,0.6344816537292506,1
11175.0,lh_S_temporal_transverse,-51.0,-25.3276,3.5501,73,lh_S_temporal_transverse_thickness,6830.547230743194,0.1257395277273086,-0.0636006553698036,13702.139529032034,0.5114032432283466,0.2400015535539246,1
,lh_MeanThickness,,,,74,lh_MeanThickness_thickness,-23713.990006166263,0.4576922058679984,-0.2920629241266481,-47386.9350846348,-0.2889864224567787,0.7037366803199535,1
12101.0,rh_G&S_frontomargin,21.2278,57.8432,-10.3605,75,rh_G&S_frontomargin_thickness,-6715.293233072814,0.2720703218442507,-0.1514084435806315,-13389.541538447897,0.2597553740339119,1.0675492582584378,1
12102.0,rh_G&S_occipital_inf,41.3785,-78.626,-12.0294,76,rh_G&S_occipital_inf_thickness,-4262.432179113269,0.1228832151589923,-0.0462917923754166,-8483.81929068089,0.1025117488808945,0.2266461982345075,1
12103.0,rh_G&S_paracentral,6.8935,-32.8405,67.312,77,rh_G&S_paracentral_thickness,-2937.7120705298958,0.2001872920027884,-0.0933045297623447,-5834.379073514144,0.0294059313557121,0.4238928145426524,1
12104.0,rh_G&S_subcentral,56.3936,-9.9829,15.4265,78,rh_G&S_subcentral_thickness,-7304.067660182975,0.2454453221065998,-0.1202923035457805,-14567.090252820304,0.0751918672048756,0.3211635919727554,1
12105.0,rh_G&S_transv_frontopol,16.3126,63.2224,1.2483,79,rh_G&S_transv_frontopol_thickness,-6003.947642889476,0.2958185369077459,-0.1542105422881079,-11966.850218233303,0.2559860983560256,0.911528422352884,1
12106.0,rh_G&S_cingul-Ant,8.5277,38.6647,7.4681,80,rh_G&S_cingul-Ant_thickness,-13372.9627783303,0.3656404531728578,-0.2128168709081155,-26704.880489114952,0.0087553133499172,0.9061547098112216,1
12107.0,rh_G&S_cingul-Mid-Ant,7.67,16.5685,35.1832,81,rh_G&S_cingul-Mid-Ant_thickness,-7108.294956310147,0.2557268356700507,-0.1276084651071639,-14175.544845074648,-0.3604417331012799,0.817829362852614,1
12108.0,rh_G&S_cingul-Mid-Post,6.8961,-10.2923,41.6171,82,rh_G&S_cingul-Mid-Post_thickness,-13757.037524092651,0.3083559878256372,-0.1755363385322687,-27473.030120487576,-0.12640128435907,0.5184697912927613,1
12109.0,rh_G_cingul-Post-dorsal,3.7861,-38.2181,31.7797,83,rh_G_cingul-Post-dorsal_thickness,-8114.835664231462,0.2928919552794548,-0.1700784991023291,-16188.626960205753,-0.3175726503857825,1.265888495695131,1
12110.0,rh_G_cingul-Post-ventral,8.1356,-50.609,7.3923,84,rh_G_cingul-Post-ventral_thickness,993.2712315474048,0.2418900005417681,-0.1374634247787048,2027.5875306404569,0.0570746404857871,0.2622635830682591,1
12111.0,rh_G_cuneus,6.3039,-78.9931,18.7983,85,rh_G_cuneus_thickness,-15308.668140495747,0.4936904071213316,-0.3492904228122696,-30576.29121344585,0.4113902475212904,1.0100029519383618,1
12112.0,rh_G_front_inf-Opercular,50.8304,9.2072,8.0672,86,rh_G_front_inf-Opercular_thickness,-10140.664099170484,0.3352004121620382,-0.2021047659397526,-20240.28327064324,-0.1301151806641307,0.5376934636885792,1
12113.0,rh_G_front_inf-Orbital,48.4311,33.0299,-7.6527,87,rh_G_front_inf-Orbital_thickness,-760.1121144927115,0.2627207049780239,-0.1371476402982287,-1479.1791614397762,0.0172021838563404,0.6552291651137112,1
12114.0,rh_G_front_inf-Triangul,51.924,28.6687,8.2459,88,rh_G_front_inf-Triangul_thickness,-7422.587995331952,0.3505206529705047,-0.1934654708595745,-14804.130923118257,0.0099619470481583,0.4219564821101072,1
12115.0,rh_G_front_middle,37.241,33.6232,31.3429,89,rh_G_front_middle_thickness,-12456.704196279832,0.4018130244414412,-0.2558786670503375,-24872.363325014016,-0.192082919168621,0.7873623651690711,1
12116.0,rh_G_front_sup,10.2659,28.1423,44.9265,90,rh_G_front_sup_thickness,-11317.099961899708,0.3881503800512442,-0.241687185291594,-22593.15485625377,-0.14919239763094,0.5539908052262561,1
,rh_G_Ins_lg&S_cent_ins,,,,91,rh_G_Ins_lg&S_cent_ins_thickness,6881.173295938052,0.0944008281855971,-0.0416131358982885,13803.39165942175,0.0227323485306107,0.021397610884641,1
12118.0,rh_G_insular_short,38.6089,10.1184,-2.9565,92,rh_G_insular_short_thickness,5017.6681569136,0.1300646737432889,-0.0700467517401141,10076.381381372848,-0.0055364112903831,0.0456817269989777,1
12119.0,rh_G_occipital_middle,40.8287,-80.812,14.3411,93,rh_G_occipital_middle_thickness,-11780.34405416292,0.2600609054640099,-0.1477858480126833,-23519.643180628107,-0.1411530790894803,0.9199277546386408,1
12120.0,rh_G_occipital_sup,18.9942,-84.885,32.0536,94,rh_G_occipital_sup_thickness,-8751.990119001879,0.2642912508495533,-0.154263923741679,-17462.93517045811,0.0473281785330117,0.372552690932688,1
12121.0,rh_G_oc-temp_lat-fusifor,33.8612,-51.8256,-19.0918,95,rh_G_oc-temp_lat-fusifor_thickness,-7602.77198325153,0.1958055805552132,-0.0857291014892244,-15164.498898957414,-0.1093664239317611,0.4521925072796502,1
